시군구코드,시도,시군구,시도_시군구
11010,서울 ,종로구,서울 종로구
11020,서울 ,중구,서울 중구
11030,서울 ,용산구,서울 용산구
11040,서울 ,성동구,서울 성동구
11050,서울 ,광진구,서울 광진구
11060,서울 ,동대문구,서울 동대문구
11070,서울 ,중랑구,서울 중랑구
11080,서울 ,성북구,서울 성북구
11090,서울 ,강북구,서울 강북구
11100,서울 ,도봉구,서울 도봉구
11110,서울 ,노원구,서울 노원구
11120,서울 ,은평구,서울 은평구
11130,서울 ,서대문구,서울 서대문구
11140,서울 ,마포구,서울 마포구
11150,서울 ,양천구,서울 양천구
11160,서울 ,강서구,서울 강서구
11170,서울 ,구로구,서울 구로구
11180,서울 ,금천구,서울 금천구
11190,서울 ,영등포구,서울 영등포구
11200,서울 ,동작구,서울 동작구
11210,서울 ,관악구,서울 관악구
11220,서울 ,서초구,서울 서초구
11230,서울 ,강남구,서울 강남구
11240,서울 ,송파구,서울 송파구
11250,서울 ,강동구,서울 강동구
21010,부산 ,중구,부산 중구
21020,부산 ,서구,부산 서구
21030,부산 ,동구,부산 동구
21040,부산 ,영도구,부산 영도구
21050,부산 ,부산진구,부산 부산진구
21060,부산 ,동래구,부산 동래구
21070,부산 ,남구,부산 남구
21080,부산 ,북구,부산 북구
21090,부산 ,해운대구,부산 해운대구
21100,부산 ,사하구,부산 사하구
21110,부산 ,금정구,부산 금정구
21120,부산 ,강서구,부산 강서구
21130,부산 ,연제구,부산 연제구
21140,부산 ,수영구,부산 수영구
21150,부산 ,사상구,부산 사상구
21310,부산 ,기장군,부산 기장군
22010,대구 ,중구,대구 중구
22020,대구 ,동구,대구 동구
22030,대구 ,서구,대구 서구
22040,대구 ,남구,대구 남구
22050,대구 ,북구,대구 북구
22060,대구 ,수성구,대구 수성구
22070,대구 ,달서구,대구 달서구
22310,대구 ,달성군,대구 달성군
23010,인천 ,중구,인천 중구
23020,인천 ,동구,인천 동구
23040,인천 ,연수구,인천 연수구
23050,인천 ,남동구,인천 남동구
23060,인천 ,부평구,인천 부평구
23070,인천 ,계양구,인천 계양구
23080,인천 ,서구,인천 서구
23090,인천 ,미추홀구,인천 미추홀구
23310,인천 ,강화군,인천 강화군
23320,인천 ,옹진군,인천 옹진군
24010,광주 ,동구,광주 동구
24020,광주 ,서구,광주 서구
24030,광주 ,남구,광주 남구
24040,광주 ,북구,광주 북구
24050,광주 ,광산구,광주 광산구
25010,대전 ,동구,대전 동구
25020,대전 ,중구,대전 중구
25030,대전 ,서구,대전 서구
25040,대전 ,유성구,대전 유성구
25050,대전 ,대덕구,대전 대덕구
26010,울산 ,중구,울산 중구
26020,울산 ,남구,울산 남구
26030,울산 ,동구,울산 동구
26040,울산 ,북구,울산 북구
26310,울산 ,울주군,울산 울주군
29010,제주 ,세종특별자치시,세종특별자치시
31011,경기 ,장안구,경기 장안구
31012,경기 ,권선구,경기 권선구
31013,경기 ,팔달구,경기 팔달구
31014,경기 ,영통구,경기 영통구
31021,경기 ,수정구,경기 수정구
31022,경기 ,중원구,경기 중원구
31023,경기 ,분당구,경기 분당구
31030,경기 ,의정부시,경기 의정부시
31041,경기 ,만안구,경기 만안구
31042,경기 ,동안구,경기 동안구
31050,경기 ,부천시,경기 부천시
31060,경기 ,광명시,경기 광명시
31070,경기 ,평택시,경기 평택시
31080,경기 ,동두천시,경기 동두천시
31091,경기 ,상록구,경기 상록구
31092,경기 ,단원구,경기 단원구
31101,경기 ,덕양구,경기 덕양구
31103,경기 ,일산동구,경기 일산동구
31104,경기 ,일산서구,경기 일산서구
31110,경기 ,과천시,경기 과천시
31120,경기 ,구리시,경기 구리시
31130,경기 ,남양주시,경기 남양주시
31140,경기 ,오산시,경기 오산시
31150,경기 ,시흥시,경기 시흥시
31160,경기 ,군포시,경기 군포시
31170,경기 ,의왕시,경기 의왕시
31180,경기 ,하남시,경기 하남시
31191,경기 ,처인구,경기 처인구
31192,경기 ,기흥구,경기 기흥구
31193,경기 ,수지구,경기 수지구
31200,경기 ,파주시,경기 파주시
31210,경기 ,이천시,경기 이천시
31220,경기 ,안성시,경기 안성시
31230,경기 ,김포시,경기 김포시
31240,경기 ,화성시,경기 화성시
31250,경기 ,광주시,경기 광주시
31260,경기 ,양주시,경기 양주시
31270,경기 ,포천시,경기 포천시
31280,경기 ,여주시,경기 여주시
31350,경기 ,연천군,경기 연천군
31370,경기 ,가평군,경기 가평군
31380,경기 ,양평군,경기 양평군
32010,강원 ,춘천시,강원 춘천시
32020,강원 ,원주시,강원 원주시
32030,강원 ,강릉시,강원 강릉시
32040,강원 ,동해시,강원 동해시
32050,강원 ,태백시,강원 태백시
32060,강원 ,속초시,강원 속초시
32070,강원 ,삼척시,강원 삼척시
32310,강원 ,홍천군,강원 홍천군
32320,강원 ,횡성군,강원 횡성군
32330,강원 ,영월군,강원 영월군
32340,강원 ,평창군,강원 평창군
32350,강원 ,정선군,강원 정선군
32360,강원 ,철원군,강원 철원군
32370,강원 ,화천군,강원 화천군
32380,강원 ,양구군,강원 양구군
32390,강원 ,인제군,강원 인제군
32400,강원 ,고성군,강원 고성군
32410,강원 ,양양군,강원 양양군
33020,충북 ,충주시,충북 충주시
33030,충북 ,제천시,충북 제천시
33041,충북 ,상당구,충북 상당구
33042,충북 ,서원구,충북 서원구
33043,충북 ,흥덕구,충북 흥덕구
33044,충북 ,청원구,충북 청원구
33320,충북 ,보은군,충북 보은군
33330,충북 ,옥천군,충북 옥천군
33340,충북 ,영동군,충북 영동군
33350,충북 ,진천군,충북 진천군
33360,충북 ,괴산군,충북 괴산군
33370,충북 ,음성군,충북 음성군
33380,충북 ,단양군,충북 단양군
33390,충북 ,증평군,충북 증평군
34011,충남 ,동남구,충남 동남구
34012,충남 ,서북구,충남 서북구
34020,충남 ,공주시,충남 공주시
34030,충남 ,보령시,충남 보령시
34040,충남 ,아산시,충남 아산시
34050,충남 ,서산시,충남 서산시
34060,충남 ,논산시,충남 논산시
34070,충남 ,계룡시,충남 계룡시
34080,충남 ,당진시,충남 당진시
34310,충남 ,금산군,충남 금산군
34330,충남 ,부여군,충남 부여군
34340,충남 ,서천군,충남 서천군
34350,충남 ,청양군,충남 청양군
34360,충남 ,홍성군,충남 홍성군
34370,충남 ,예산군,충남 예산군
34380,충남 ,태안군,충남 태안군
35011,전북 ,완산구,전북 완산구
35012,전북 ,덕진구,전북 덕진구
35020,전북 ,군산시,전북 군산시
35030,전북 ,익산시,전북 익산시
35040,전북 ,정읍시,전북 정읍시
35050,전북 ,남원시,전북 남원시
35060,전북 ,김제시,전북 김제시
35310,전북 ,완주군,전북 완주군
35320,전북 ,진안군,전북 진안군
35330,전북 ,무주군,전북 무주군
35340,전북 ,장수군,전북 장수군
35350,전북 ,임실군,전북 임실군
35360,전북 ,순창군,전북 순창군
35370,전북 ,고창군,전북 고창군
35380,전북 ,부안군,전북 부안군
36010,전남 ,목포시,전남 목포시
36020,전남 ,여수시,전남 여수시
36030,전남 ,순천시,전남 순천시
36040,전남 ,나주시,전남 나주시
36060,전남 ,광양시,전남 광양시
36310,전남 ,담양군,전남 담양군
36320,전남 ,곡성군,전남 곡성군
36330,전남 ,구례군,전남 구례군
36350,전남 ,고흥군,전남 고흥군
36360,전남 ,보성군,전남 보성군
36370,전남 ,화순군,전남 화순군
36380,전남 ,장흥군,전남 장흥군
36390,전남 ,강진군,전남 강진군
36400,전남 ,해남군,전남 해남군
36410,전남 ,영암군,전남 영암군
36420,전남 ,무안군,전남 무안군
36430,전남 ,함평군,전남 함평군
36440,전남 ,영광군,전남 영광군
36450,전남 ,장성군,전남 장성군
36460,전남 ,완도군,전남 완도군
36470,전남 ,진도군,전남 진도군
36480,전남 ,신안군,전남 신안군
37011,경북 포항시 ,남구,경북 포항시 남구
37012,경북 포항시 ,북구,경북 포항시 북구
37020,경북 ,경주시,경북 경주시
37030,경북 ,김천시,경북 김천시
37040,경북 ,안동시,경북 안동시
37050,경북 ,구미시,경북 구미시
37060,경북 ,영주시,경북 영주시
37070,경북 ,영천시,경북 영천시
37080,경북 ,상주시,경북 상주시
37090,경북 ,문경시,경북 문경시
37100,경북 ,경산시,경북 경산시
37310,경북 ,군위군,경북 군위군
37320,경북 ,의성군,경북 의성군
37330,경북 ,청송군,경북 청송군
37340,경북 ,영양군,경북 영양군
37350,경북 ,영덕군,경북 영덕군
37360,경북 ,청도군,경북 청도군
37370,경북 ,고령군,경북 고령군
37380,경북 ,성주군,경북 성주군
37390,경북 ,칠곡군,경북 칠곡군
37400,경북 ,예천군,경북 예천군
37410,경북 ,봉화군,경북 봉화군
37420,경북 ,울진군,경북 울진군
37430,경북 ,울릉군,경북 울릉군
38030,경남 ,진주시,경남 진주시
38050,경남 ,통영시,경남 통영시
38060,경남 ,사천시,경남 사천시
38070,경남 ,김해시,경남 김해시
38080,경남 ,밀양시,경남 밀양시
38090,경남 ,거제시,경남 거제시
38100,경남 ,양산시,경남 양산시
38111,경남 창원시 ,의창구,경남 창원시 의창구
38112,경남 창원시 ,성산구,경남 창원시 성산구
38113,경남 창원시 ,마산합포구,경남 창원시 마산합포구
38114,경남 창원시 ,마산회원구,경남 창원시 마산회원구
38115,경남 창원시 ,진해구,경남 창원시 진해구
38310,경남 ,의령군,경남 의령군
38320,경남 ,함안군,경남 함안군
38330,경남 ,창녕군,경남 창녕군
38340,경남 ,고성군,경남 고성군
38350,경남 ,남해군,경남 남해군
38360,경남 ,하동군,경남 하동군
38370,경남 ,산청군,경남 산청군
38380,경남 ,함양군,경남 함양군
38390,경남 ,거창군,경남 거창군
38400,경남 ,합천군,경남 합천군
39010,제주 ,제주시,제주 제주시
39020,제주 ,서귀포시,제주 서귀포시
