매장명,위도,경도,주소
남이섬,37.806624,127.52527,경기도 가평군 가평읍 북한강변로 1054 북한강변로 1054
소노캄고양,37.662855441267716,126.75051316953129,경기도 고양시 일산동구 태극로 18 (장항동)
일산애니골DT,37.6748,126.793181,경기도 고양시 일산동구 무궁화로 294 (풍동)
동국대일산병원,37.676411,126.806405,경기도 고양시 일산동구 동국로 27 (식사동)
일산풍동DT,37.662091,126.800900,경기도 고양시 일산동구 백마로 475 (풍동)
백석중앙로,37.6411,126.790987,경기도 고양시 일산동구 강송로 33 (백석동)
일산식사,37.6779381,126.812161,경기도 고양시 일산동구 위시티2로11번길 31 (식사동)
풍산이마트,37.673769,126.786883,경기도 고양시 일산동구 무궁화로 237 (중산동)
백석역DT,37.6439377,126.7873856,"경기도 고양시 일산동구 중앙로 1054, 1층 (백석동)"
백석,37.643888,126.786153,경기도 고양시 일산동구 중앙로 1059 (백석동)
라페스타광장,37.659671,126.770161,경기도 고양시 일산동구 중앙로1275번길 38-9 (장항동)
일산백마,37.6570742,126.7880695,경기도 고양시 일산동구 일산로 237 (마두동)
웨스턴돔B,37.654744,126.77261900000007,경기도 고양시 일산동구 정발산로 24 (장항동)
마두역,37.652965,126.776768,경기도 고양시 일산동구 중앙로 1191 (장항동)
일산동구청,37.65665,126.772598,경기도 고양시 일산동구 정발산로 38 (장항동)
고양대로DT,37.677601,126.7961618,경기도 고양시 일산동구 고양대로 910 (풍동)
일산하늘마을,37.6775295741821,126.78206550066666,경기도 고양시 일산동구 중산로 61 (중산동)
과천DT,37.439309,126.99377,경기도 과천시 중앙로 277 (중앙동)
과천이마트,37.42629945,126.991852,경기도 과천시 별양상가3로 11 이마트 1층(별양동)
과천,37.428183,126.991074,"경기도 과천시 중앙로 129, 고려빌딩 1층 (중앙동)"
광명하안대로,37.4616837,126.8783697,경기도 광명시 범안로 1036 (하안동)
철산역,37.476177,126.8676737,경기도 광명시 철산로 15 (철산동)
광명역,37.416562,126.880830,"경기도 광명시 양지로 16 (일직동, 광명역써밋플레이스)"
광명소하DT,37.435072,126.879143,경기도 광명시 오리로 363 (소하동)
광명소하,37.448660,126.883959,경기도 광명시 금하로 464 (소하동)
광명사거리역,37.479895,126.854325,경기도 광명시 광명로 907 (광명동)
철산로데오,37.4739663,126.86935070000004,경기도 광명시 디지털로 17 (철산1동) 가림빌딩
광명하안,37.462605,126.880577,경기도 광명시 범안로 1060 (하안동)
광명철산,37.475304,126.866126,경기도 광명시 오리로 865 (철산동)
광명AK,37.4186752766706,126.882647641062,"경기도 광명시 양지로 17 (일직동), 1층 일부"
광명롯데몰,37.42373,126.88451,경기도 광명시 일직로 17 (일직동) 롯데아울렛 1층
경기광주쌍령DT,37.3987506,127.2733178,경기도 광주시 경충대로 1445 (쌍령동)
경기광주신현DT,37.36005,127.153125,경기도 광주시 오포읍 태재로 37 
경기광주송정DT,37.4162894,127.2722943,경기도 광주시 경안천로 118 (송정동)
경기광주,37.4097851,127.26021279999997,경기도 광주시 광주대로 35 (경안동)
경기광주초월역DT,37.3746522164064,127.298181781125,경기도 광주시 초월읍 경충대로 1084 
곤지암IC DT,37.355886,127.3251588,경기도 광주시 곤지암읍 경충대로 765 경충대로 765
구리갈매역,37.633967,127.115944,"경기도 구리시 경춘북로 252 (갈매동, 갈매역아이파크)"
구리돌다리,37.600585,127.141922,"경기도 구리시 검배로 5, 우진빌딩 (수택동)"
구리장자호수,37.587252,127.139874,경기도 구리시 장자대로 84 (수택동)
구리인창DT,37.60568,127.13928,경기도 구리시 건원대로 53 (인창동)
구리수택,37.588465,127.138136,"경기도 구리시 체육관로 44 (수택동)1-2층 , 옥외공간"
구리토평DT,37.584632,127.147385,경기도 구리시 벌말로 88 (토평동)
산본사거리,37.372658,126.935735,경기도 군포시 고산로701 
산본,37.36061352,126.9317436,경기도 군포시 산본로343번길 9 (산본동) 1층
산본역,37.358087,126.931956,"경기도 군포시 번영로 497, 금화프라자 1층 (산본동)"
산본동,37.365491,126.929426,"경기도 군포시 산본로 398, 태주빌딩 2층"
금정AK,37.372279107122,126.94486272941,"경기도 군포시 엘에스로 143 (금정동, 힐스테이트 금정역), AK플라자 4층 일부"
산본역서부사거리,37.3578052964351,126.93066890189,경기도 군포시 번영로 485 (산본동) 롯데피트인 산본 1층 일부
다산지금,37.6005424,127.174302,경기도 남양주시 다산지금로 139 (다산동)
남양주연평DT,37.7113167,127.1853201,경기도 남양주시 진접읍 해밀예당1로 27 
다산진건,37.624813,127.152582,경기도 남양주시 다산중앙로123번길 22-26 (다산동) 123호~128호
도농역,37.611129,127.164199,경기도 남양주시 미금로 239 (다산동)
남양주진접DT,37.723076,127.190357,경기도 남양주시 진접읍 금강로 1477 
리버사이드팔당DT,37.567114,127.228362,경기도 남양주시 와부읍 경강로 772 
별내불암로,37.650317,127.112364,경기도 남양주시 별내5로5번길 15 (별내동)
평내DT,37.6477605,127.23469380000006,경기도 남양주시 경춘로 1269
별내,37.6479682,127.1233987,경기도 남양주시 별내중앙로 64 1-2층
평내호평역,37.6540359,127.24287989999993,"경기도 남양주시 늘을1로16번길 25, 성보빌딩 (호평동)"
더북한강R,37.6122797,127.3415601,경기도 남양주시 화도읍 북한강로 1098 
남양주화도DT,37.6389955,127.3033633,경기도 남양주시 화도읍 수레로 1137 1~2층
다산DT,37.61424,127.15537,경기도 남양주시 다산중앙로 19번길5 (다산동)
남양주묵현DT,37.6631,127.30263,경기도 남양주시 화도읍 비룡로 122 
다산이마트,37.60868,127.15842,"경기도 남양주시 도농로 24 (다산동, 부영애시앙)"
별내별가람역,37.668071,127.116894,경기도 남양주시 덕송2로 62 (별내동)
남양주삼패,37.59205,127.19946,경기도 남양주시 경강로 384 (삼패동)1-2층 옥탑
판교유스페이스,37.401270,127.107533,경기도 성남시 분당구 대왕판교로 660 (삼평동)
판교알파돔타워,37.3941783,127.1106448,경기도 성남시 분당구 판교역로 152 (백현동)
